Date,total vaccinations
12-01-2021,
13-01-2021,
14-01-2021,
15-01-2021,0
16-01-2021,191181
17-01-2021,224301
18-01-2021,454049
19-01-2021,674835
20-01-2021,806484
21-01-2021,1043534
22-01-2021,1390592
23-01-2021,1582201
24-01-2021,1615504
25-01-2021,2023809
26-01-2021,2029480
27-01-2021,2355979
28-01-2021,2928053
29-01-2021,3500027
30-01-2021,3744334
31-01-2021,3758843
01-02-2021,3950156
02-02-2021,4138918
03-02-2021,4449552
04-02-2021,4959445
05-02-2021,5416849
06-02-2021,5775322
07-02-2021,5812362
08-02-2021,6259008
09-02-2021,6611561
10-02-2021,7017114
11-02-2021,7505010
12-02-2021,7967647
13-02-2021,8052454
14-02-2021,
15-02-2021,8516771
16-02-2021,8857341
17-02-2021,9186757
18-02-2021,9846523
19-02-2021,10449942
20-02-2021,10838323
21-02-2021,11085173
22-02-2021,11424094
23-02-2021,11907392
24-02-2021,12366633
25-02-2021,13067047
26-02-2021,13756940
27-02-2021,14242547
28-02-2021,14301266
01-03-2021,14854136
02-03-2021,15620749
03-03-2021,16616048
04-03-2021,18005503
05-03-2021,19497704
06-03-2021,20922344
07-03-2021,20989010
08-03-2021,23008733
09-03-2021,24367906
10-03-2021,25685011
11-03-2021,26164920
12-03-2021,26164920
13-03-2021,28218457
14-03-2021,29738409
